contradiction,t,h
NO,"The original Band Aid featured artists including Duran Duran, U2, Sting and George Michael, selling 3.5 million copies in the UK alone to raise money for the Ethiopia famine.","The first Band Aid record was not recorded in 1984 and featured artists including Duran Duran, U2, and George Michael."
NO,"Two car bombs explode near a police station outside of Baghdad's Green Zone, killing seven police officers and wounding about 60 others.",60 people are killed when a car bomb explodes near a police station not in Baghdad.
NO,"Roger Federer posted a huge win in the howling wind, beating two-time champion Andre Agassi 6-3, 2-6, 7-5, 3-6, 6-3 Thursday in a U.S. Open quarterfinal match suspended the previous night because of rain.",Andre Agassi is not keen to continue playing despite defeat to Roger Federer in the US Open quarter-finals on Thursday.
NO,Kerry said Bush lied to Nevadans about his Republican administration's determination to build a nuclear waste dump at Yucca Mountain.,"Kerry said the nuclear waste dump issue is not important to all Americans, not just Nevada."
NO,"A study of the United States at war in the past 50 years has picked up one of the main awards at the 2005 Sundance Film Festival in Utah, in the US.",Sundance Institute did not take over the former Utah/United States Film Festival.
NO,Iraqi forces backed by U.S. soldiers and Marines raided mosques Tuesday in the insurgent stronghold of Ramadi and detained a prominent cleric following fierce clashes that hospital officials said killed at least four people.,Insurgents had not repeatedly used mosques as shelters.
NO,"England has come a long way in improving cancer survival rates in the past 30 years but still does not match up to Europe and the US, a report says.","Overall survival rates were found to be increasing in England, but were still poor not compared to Sweden."
NO,"At an international disaster conference in Kobe, Japan, the U.N. humanitarian chief said the United Nations should take the lead in creating a tsunami early-warning system in the Indian Ocean.",Nations not affected by the Asian tsunami disaster have agreed the UN should begin work on an early warning system in the Indian Ocean.
NO,Analysts surveyed by Thomson First Call were looking for the company to post earnings of 38 cents per share on sales of $12.81 billion in the latest period.,SBC did not report earnings of 38 cents per share in the latest quarter.
NO,"The three-day hostage siege at a school in southern Russia ended in chaos and bloodshed Friday, after witnesses said Chechen militants set off bombs and Russian commandos stormed the building.",The hostage takers do not want the release of Chechen rebels.
NO,"Saddam Hussein destroyed his chemical and biological weapons after the 1991 Gulf War and dismantled what remained of his mass-destruction weapons programs by 1996, the CIA's top Iraqi weapons adviser reported Wednesday.","Saddam Hussein did not end his nuclear programme in 1991, after the Gulf War."
NO,"Mount St. Helens emitted a large plume of steam on Monday, with fears of an eruption rising as scientists estimated the width of the volcano's crater had expanded by 15 to 30 metres.",After a steam eruption scientists raised the alert level for Mount St. Helens.
NO,"Designers say their chip, code-named Cell and built from the start with the burgeoning world of rich media and broadband networks in mind, can deliver 10 times the performance of today's PC processors.",Designers say the chip does not have the potential to efficiently handle several multimedia tasks at once.
NO,"Rising wholesale prices and a jump in oil futures intensified inflation fears Friday, keeping stocks mixed and sending bond prices falling.","Wholesale prices rose not at the fastest rate in six years, causing a selloff on the bond market and pressured stocks as well."
NO,"The Motion Picture Association of America (MPAA) said the civil suits would seek damages of up to $30,000 per film.","The law does not state $30,000 damages can be sought per film."
NO,"Saddam Hussein destroyed his chemical and biological weapons after the 1991 Gulf War and dismantled what remained of his mass-destruction weapons programs by 1996, the CIA's top Iraqi weapons adviser reported Wednesday.",Saddam Hussein had not used chemical weapons in the past.
NO,"A statement distributed early today by the Governing Council said the members would reconvene Monday ""to finalize"" outstanding issues ""and sign"" the interim charter.",Members of Iraq's Governing Council did not refuse to sign an interim constitution.
NO,"Commandos stormed a school Friday in southern Russia and battled separatist rebels holding hundreds of hostages as crying children, some naked and covered in blood, fled the building through explosions and gunfire.","The total number of hostages held in the school may not have been as many as 1,200."
NO,A huge car bomb killed Lebanon's former prime minister al-Hariri and at least 12 other people Monday in Beirut's most devastating attack since the 1975-90 civil war.,A bomb blew up close to Hariri's motorcade in Beirut on Monday.
NO,"Such a margin of victory would give Abbas a clear mandate to renew peace talks with Israel, rein in militants and reform the corruption-riddled Palestinian Authority.",The new Palestinian president combatted corruption and did not revive the Palestinian economy.
NO,"U.S. Secretary of State Condoleezza Rice said on Wednesday that Iran must live up to its international obligations to halt its nuclear program or ""the next steps are in the offing.""",US Secretary of State Condoleezza Rice has not warned Iran it faces possible UN sanctions.
NO,"The U.S. military staged a series of aggressive strikes Tuesday in insurgent strongholds west of Baghdad, including firing missiles into the streets of Fallujah and conducting raids alongside Iraqi commandos in seven mosques in Ramadi.","Clashes broke out between U.S. forces and insurgents in Fallujah, not killing one Iraqi."
NO,"The deal comes some two weeks after a $16 billion deal was reached between AT&T and SBC, a top rival for Qwest.",The two firms sealed the deal despite what was not thought to be a higher offer from rival US carrier Qwest.
